YYYY-MM-DD,hh:mm,Original,Calculated,Flag
1975-02-01,--:--,-999,0,100
1975-03-01,--:--,-999,0,100
1975-04-01,--:--,-999,0,100
1975-05-01,--:--,-999,0,100
1975-06-01,--:--,-999,0,100
1975-07-01,--:--,-999,0,100
1975-08-01,--:--,-999,0,100
1975-09-01,--:--,-999,0,100
1975-10-01,--:--,-999,0,100
1975-11-01,--:--,-999,0,100
1975-12-01,--:--,-999,0,100
1976-01-01,--:--,-999,0,100
1976-02-01,--:--,-999,0,100
1976-03-01,--:--,-999,0,100
1976-04-01,--:--,-999,0,100
1976-05-01,--:--,-999,0,100
1976-06-01,--:--,-999,0,100
1976-07-01,--:--,-999,0,100
1976-08-01,--:--,-999,0,100
1976-09-01,--:--,-999,0,100
1976-10-01,--:--,-999,0,100
1976-11-01,--:--,-999,0,100
1976-12-01,--:--,-999,0,100
1977-01-01,--:--,-999,0,100
1977-02-01,--:--,-999,0,100
1977-03-01,--:--,-999,0,100
1977-04-01,--:--,-999,0,100
1977-05-01,--:--,-999,0,100
1977-06-01,--:--,-999,0,100
1977-07-01,--:--,-999,0,100
1977-08-01,--:--,-999,0,100
1977-09-01,--:--,-999,0,100
1977-10-01,--:--,-999,0,100
1977-11-01,--:--,-999,0,100
1977-12-01,--:--,-999,0,100
1978-01-01,--:--,-999,21.204,100
1978-02-01,--:--,-999,21.079,100
1978-03-01,--:--,-999,30.317,100
1978-04-01,--:--,-999,1.261,100
1978-05-01,--:--,-999,0.467,100
1978-06-01,--:--,-999,0.127,100
1978-07-01,--:--,-999,0,100
1978-08-01,--:--,-999,0,100
1978-09-01,--:--,-999,0,100
1978-10-01,--:--,-999,0,100
1978-11-01,--:--,-999,0,100
1978-12-01,--:--,-999,0.766,100
1979-01-01,--:--,-999,6.854,100
1979-02-01,--:--,-999,7.305,100
1979-03-01,--:--,-999,4.848,100
1979-04-01,--:--,-999,3.016,100
1979-05-01,--:--,-999,0.803,100
1979-06-01,--:--,-999,0.342,100
1979-07-01,--:--,-999,0.089,100
1979-08-01,--:--,-999,0,100
1979-09-01,--:--,-999,0,100
1979-10-01,--:--,-999,0,100
1979-11-01,--:--,-999,0,100
1979-12-01,--:--,-999,0,100
1980-01-01,--:--,-999,11.855,100
1980-02-01,--:--,-999,63.675,100
1980-03-01,--:--,-999,17.127,100
